quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
4,2017,0.118,0.007,12.0,1.4,1546,13251,0.028,0.176,0.011,0.927,0.046,0.058,0.081,0.579,0.757,0.722,1.051,0.72,0.008,0.194,0.338,0.183,0.1,0.002,17.2,0.261,16.2,0.01,0.023,2017-10-01,CTG
3,2017,0.121,0.008,9.2,1.1,1543,12959,0.026,0.154,0.012,1.007,0.045,0.059,0.082,0.443,0.751,0.718,1.053,0.713,0.009,0.22,0.45,0.257,0.1,0.024,17.1,0.266,16.1,0.006,0.032,2017-07-01,CTG
2,2017,0.121,0.008,9.9,1.2,1506,12551,0.027,0.15,0.012,0.949,0.045,0.058,0.083,0.414,0.737,0.705,1.054,0.7,0.008,0.231,0.486,0.219,0.1,0.056,17.2,0.28,16.2,0.007,0.032,2017-04-01,CTG
1,2017,0.118,0.008,9.3,1.1,1426,12165,0.027,0.202,0.011,0.937,0.044,0.059,0.084,0.403,0.742,0.707,1.047,0.708,0.008,0.261,0.478,0.264,0.1,0.017,16.9,0.275,15.9,0.006,-0.072,2017-01-01,CTG
4,2016,0.114,0.008,7.6,0.8,1403,13103,0.027,0.177,0.01,1.018,0.044,0.066,0.095,0.669,0.734,0.698,1.012,0.725,0.007,0.23,0.264,0.254,0.1,0.049,15.1,0.285,14.1,0.005,0.027,2016-10-01,CTG
3,2016,0.11,0.008,8.9,0.9,1338,12755,0.028,0.178,0.009,1.282,0.044,0.068,0.098,0.422,0.73,0.694,1.0,0.731,0.006,0.252,0.465,0.246,0.1,0.058,14.7,0.289,13.7,0.006,0.03,2016-07-01,CTG
2,2016,0.107,0.008,9.4,1.0,1264,12383,0.028,0.087,0.009,1.125,0.042,0.07,0.1,0.467,0.734,0.697,1.029,0.714,0.006,0.234,0.425,0.231,0.1,-0.046,14.3,0.285,13.3,0.008,0.026,2016-04-01,CTG
1,2016,0.112,0.009,8.7,1.0,1325,12072,0.029,0.172,0.01,1.042,0.044,0.073,0.105,0.408,0.739,0.699,1.099,0.673,0.007,0.23,0.474,0.296,0.1,0.118,13.6,0.282,12.6,0.01,0.038,2016-01-01,CTG
4,2015,0.103,0.008,11.1,1.1,1185,11625,0.028,0.261,0.009,0.921,0.041,0.072,0.104,0.575,0.73,0.69,1.092,0.669,0.006,0.223,0.329,0.215,0.1,-0.034,14.0,0.291,12.9,0.009,0.004,2015-10-01,CTG
3,2015,0.107,0.009,11.3,1.2,1226,11582,0.03,0.17,0.01,0.984,0.043,0.078,0.111,0.47,0.749,0.703,1.066,0.703,0.007,0.252,0.409,0.241,0.1,0.031,12.8,0.274,11.8,0.013,0.024,2015-07-01,CTG
2,2015,0.106,0.009,11.4,1.2,1190,11312,0.031,0.142,0.015,0.723,0.044,0.079,0.113,0.418,0.747,0.701,1.07,0.698,0.01,0.271,0.449,0.311,0.1,-0.017,12.6,0.277,11.6,0.012,-0.035,2015-04-01,CTG
1,2015,0.104,0.01,9.6,1.0,1211,11716,0.032,0.107,0.018,0.717,0.049,0.087,0.125,0.415,0.747,0.697,1.05,0.711,0.013,0.271,0.467,0.237,0.1,0.019,11.5,0.281,10.5,0.007,0.024,2015-01-01,CTG
4,2014,0.105,0.009,,,1188,11447,0.03,0.278,0.011,0.886,0.047,0.083,0.125,0.464,0.711,0.665,1.037,0.686,0.007,0.169,0.427,0.241,0.1,0.199,12.0,0.315,11.0,0.007,0.008,2014-10-01,CTG
3,2014,0.091,0.008,,,991,11361,0.032,0.125,0.017,0.776,0.052,0.088,0.137,0.538,0.688,0.642,1.003,0.686,0.011,0.154,0.36,0.243,0.1,-0.165,11.4,0.341,10.4,0.013,0.023,2014-07-01,CTG
2,2014,0.113,0.01,,,1186,11104,0.033,0.075,0.025,0.574,0.055,0.089,0.141,0.361,0.678,0.632,1.001,0.678,0.016,0.13,0.499,0.388,0.1,-0.032,11.2,0.354,10.2,0.011,-0.033,2014-04-01,CTG
1,2014,0.131,0.011,,,1225,11484,0.036,0.153,0.018,0.695,0.059,0.099,0.156,0.502,0.681,0.634,1.0,0.681,0.011,0.091,0.389,0.229,0.1,0.017,10.1,0.351,9.1,0.013,0.021,2014-01-01,CTG
4,2013,0.132,0.011,,,1205,11252,0.036,0.171,0.01,0.875,0.059,0.094,0.144,0.585,0.697,0.653,1.032,0.675,0.007,0.129,0.296,0.096,0.1,-0.128,10.7,0.331,9.7,0.013,0.079,2013-10-01,CTG
3,2013,0.16,0.014,,,1382,10427,0.041,0.216,0.025,0.723,0.07,0.095,0.145,0.372,0.7,0.654,1.049,0.667,0.016,0.148,0.472,0.371,0.1,-0.073,10.5,0.336,9.5,0.012,0.045,2013-07-01,CTG
2,2013,0.182,0.015,,,1490,9973,0.042,0.13,0.022,0.725,0.075,0.092,0.143,0.388,0.683,0.641,1.089,0.627,0.014,0.175,0.459,0.387,0.1,0.265,10.9,0.352,9.9,0.012,0.383,2013-04-01,CTG
1,2013,0.175,0.012,,,1178,7209,0.044,0.121,0.017,0.897,0.081,0.069,0.107,0.486,0.695,0.649,1.072,0.648,0.011,0.136,0.391,0.197,0.1,-0.08,14.4,0.331,13.4,0.012,0.03,2013-01-01,CTG
4,2012,0.198,0.013,,,1281,6998,0.04,0.192,0.015,0.751,0.082,0.067,0.101,0.408,0.704,0.662,1.156,0.609,0.01,0.136,0.422,0.232,0.1,-0.064,15.0,0.317,14.0,0.012,0.019,2012-10-01,CTG
3,2012,0.23,0.015,,,1370,6864,0.047,0.168,0.026,0.731,0.107,0.074,0.11,0.296,0.728,0.679,1.112,0.654,0.018,0.101,0.547,0.482,0.1,0.207,13.4,0.302,12.4,0.012,0.079,2012-07-01,CTG
2,2012,0.205,0.014,,,1135,6364,0.052,0.145,0.025,0.751,0.124,0.076,0.107,0.587,0.75,0.703,1.123,0.668,0.018,0.081,0.307,0.105,0.1,-0.198,13.2,0.283,12.2,0.018,0.019,2012-04-01,CTG
1,2012,0.259,0.017,,,1415,6243,0.053,0.135,0.018,0.716,0.122,0.074,0.105,0.432,0.75,0.703,1.184,0.633,0.013,0.137,0.434,0.306,0.1,0.086,13.6,0.278,12.6,0.016,0.052,2012-01-01,CTG
4,2011,,0.015,,,1303,5932,0.051,0.111,0.008,1.382,,0.062,0.097,0.149,0.672,0.637,1.146,0.586,0.005,0.254,0.628,0.296,0.1,0.24,16.2,0.354,15.2,0.018,0.173,2011-10-01,CTG
3,2011,,0.014,,,1051,5059,0.053,0.062,0.014,0.94,,0.059,0.089,0.556,0.7,0.659,1.223,0.572,0.009,0.32,0.34,0.277,0.1,0.075,17.1,0.323,16.1,0.012,0.069,2011-07-01,CTG
2,2011,,0.014,,,978,4730,0.049,0.102,0.017,1.041,,0.057,0.086,0.569,0.7,0.665,1.37,0.511,0.011,0.407,0.303,0.335,0.1,0.365,17.4,0.328,16.4,0.007,0.005,2011-04-01,CTG
1,2011,,0.01,,,716,4706,0.045,0.174,0.007,2.391,,0.057,0.09,0.381,0.674,0.635,1.307,0.515,0.005,0.423,0.531,0.196,0.1,0.003,17.5,0.35,16.5,0.01,0.295,2011-01-01,CTG
4,2010,,0.011,,,714,3633,0.041,0.246,0.007,1.802,,0.047,0.075,0.433,0.67,0.636,1.152,0.582,0.004,0.435,0.368,0.115,0.0,-0.053,21.1,0.348,20.1,0.009,0.017,2010-10-01,CTG
3,2010,,0.013,,,754,3573,0.042,0.148,0.011,1.118,,0.053,0.083,0.475,0.68,0.644,1.197,0.568,0.007,0.318,0.431,0.345,0.1,0.278,18.7,0.342,17.7,0.005,0.291,2010-07-01,CTG
2,2010,,0.011,,,590,2767,0.041,0.133,0.011,1.069,,0.045,0.071,0.597,0.67,0.634,1.2,0.559,0.007,0.353,0.266,0.187,0.0,0.108,22.2,0.35,21.2,0.006,-0.24,2010-04-01,CTG
1,2010,,0.011,,,532,3643,0.04,0.181,0.007,1.347,,0.066,0.099,0.471,0.712,0.67,1.128,0.632,0.005,0.417,0.446,0.36,0.1,-0.079,15.1,0.311,14.1,0.011,0.031,2010-01-01,CTG
