quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
3,2012,-0.148,-0.012,,,-389,3121,0.025,0.1,0.132,0.294,0.174,0.08,0.177,2.436,0.543,0.454,0.721,0.752,0.06,0.666,-1.436,-3.989,0.1,-2.167,12.5,0.454,11.5,-0.009,0.482,2012-07-01,SHB
2,2012,0.162,0.012,,,333,2106,0.033,0.237,0.028,0.439,0.111,0.069,0.183,0.539,0.428,0.376,0.686,0.624,0.01,0.142,0.341,0.408,0.1,0.078,14.5,0.562,13.5,0.001,-0.083,2012-04-01,SHB
1,2012,0.157,0.013,,,309,2296,0.036,0.14,0.024,0.551,0.112,0.082,0.194,0.441,0.481,0.424,0.754,0.638,0.01,0.258,0.417,0.34,0.1,0.097,12.1,0.515,11.1,0.001,0.05,2012-01-01,SHB
4,2011,,0.012,,,282,2187,0.035,0.253,0.021,0.57,,0.082,0.2,0.489,0.464,0.411,0.84,0.553,0.009,0.189,0.384,0.319,0.1,0.131,12.2,0.544,11.2,0.001,0.027,2011-10-01,SHB
3,2011,,0.012,,,249,2129,0.038,0.072,0.015,0.705,,0.081,0.201,0.486,0.469,0.405,0.867,0.541,0.006,0.369,0.386,0.356,0.1,0.183,12.3,0.533,11.3,0.0,0.054,2011-07-01,SHB
2,2011,,0.012,,,211,2020,0.035,0.137,0.016,0.665,,0.088,0.2,0.541,0.502,0.441,0.811,0.619,0.007,0.461,0.347,0.334,0.1,-0.055,11.3,0.496,10.3,-0.003,0.225,2011-04-01,SHB
1,2011,,0.015,,,223,1649,0.037,0.104,0.015,0.744,,0.079,0.175,0.517,0.518,0.449,0.903,0.574,0.007,0.864,0.362,0.346,0.1,0.055,12.7,0.471,11.7,-0.003,0.048,2011-01-01,SHB
4,2010,,0.014,,,211,1574,0.031,0.136,0.014,0.804,,0.082,0.171,0.508,0.542,0.481,0.959,0.566,0.007,0.916,0.37,0.28,0.1,0.146,12.2,0.459,11.2,-0.003,0.62,2010-10-01,SHB
3,2010,,0.016,,,184,971,0.03,0.268,0.016,0.648,,0.064,0.125,0.512,0.605,0.514,0.89,0.679,0.008,1.408,0.366,0.36,0.1,0.131,15.5,0.379,14.5,-0.008,0.044,2010-07-01,SHB
2,2010,,0.016,,,163,930,0.03,0.396,0.021,0.36,,0.073,0.135,0.346,0.631,0.542,0.938,0.673,0.011,1.591,0.545,0.47,0.1,0.164,13.7,0.363,12.7,-0.002,-0.022,2010-04-01,SHB
1,2010,,0.019,,,140,951,0.037,0.264,0.028,0.337,,0.102,0.189,0.441,0.639,0.539,0.87,0.735,0.015,1.288,0.419,0.419,0.1,0.119,9.8,0.365,8.8,-0.007,0.05,2010-01-01,SHB
