quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
2,2016,0.122,0.011,,,583,5051,0.044,0.225,0.019,0.599,0.039,0.083,0.139,0.327,0.647,0.601,0.851,0.76,0.011,0.405,0.531,0.279,0.1,0.173,12.0,0.376,11.0,0.033,0.046,2016-04-01,TCB
1,2016,0.108,0.009,,,497,4829,0.042,0.361,0.02,0.555,0.037,0.085,0.149,0.31,0.62,0.573,0.766,0.809,0.012,0.285,0.563,0.15,0.1,0.102,11.7,0.403,10.7,0.036,0.026,2016-01-01,TCB
4,2015,0.1,0.009,,,451,4707,0.043,0.17,0.017,0.625,0.038,0.086,0.148,0.467,0.638,0.581,0.785,0.813,0.01,0.39,0.412,0.151,0.1,0.141,11.6,0.38,10.6,0.036,0.023,2015-10-01,TCB
3,2015,0.09,0.008,,,395,4602,0.043,0.257,0.023,0.529,0.042,0.092,0.172,0.431,0.594,0.536,0.687,0.864,0.012,0.314,0.442,0.192,0.1,0.211,10.8,0.426,9.8,0.039,0.026,2015-07-01,TCB
2,2015,0.075,0.007,,,326,4487,0.044,0.196,0.024,0.472,0.044,0.091,0.173,0.372,0.581,0.526,0.705,0.824,0.013,0.228,0.494,0.229,0.1,0.317,11.0,0.438,10.0,0.047,0.03,2015-04-01,TCB
1,2015,0.059,0.005,,,247,4356,0.041,0.292,0.026,0.485,0.045,0.085,0.172,0.316,0.55,0.495,0.699,0.786,0.013,0.235,0.525,0.119,0.1,-0.196,11.7,0.463,10.7,0.047,0.02,2015-01-01,TCB
4,2014,0.075,0.006,,,308,4272,0.039,0.181,0.024,0.501,0.048,0.085,0.187,0.566,0.51,0.457,0.611,0.835,0.011,0.143,0.308,0.093,0.1,0.084,11.7,0.501,10.7,0.033,0.012,2014-10-01,TCB
3,2014,0.07,0.006,,,284,4221,0.036,0.228,0.03,0.452,0.05,0.087,0.207,0.369,0.471,0.419,0.587,0.803,0.012,0.022,0.477,0.078,0.1,0.122,11.5,0.531,10.5,0.038,0.011,2014-07-01,TCB
2,2014,0.063,0.005,,,253,4175,0.031,0.169,0.041,0.368,0.052,0.086,0.198,0.502,0.49,0.433,0.593,0.826,0.018,0.06,0.388,0.139,0.1,0.156,11.7,0.513,10.7,0.02,0.015,2014-04-01,TCB
1,2014,0.055,0.005,,,219,4115,0.03,0.161,0.046,0.386,0.055,0.088,0.201,0.512,0.502,0.438,0.579,0.867,0.02,0.05,0.38,0.341,0.1,0.199,11.4,0.499,10.4,0.019,0.038,2014-01-01,TCB
4,2013,0.047,0.004,,,182,3964,0.03,0.186,0.037,0.462,0.059,0.088,0.198,0.588,0.509,0.442,0.586,0.869,0.016,0.029,0.309,0.071,0.1,-1.958,11.4,0.493,10.4,0.02,0.005,2013-10-01,TCB
3,2013,-0.047,-0.004,,,-190,3944,0.029,0.206,0.059,0.373,0.063,0.083,0.198,0.68,0.488,0.422,0.597,0.817,0.025,0.141,0.176,0.042,0.1,4.569,12.0,0.509,11.0,0.022,0.005,2013-07-01,TCB
